publishedTime,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths
23-02-2024,"RAM naam saray shastro k upaar hai,  tu ho ga bada gyaani but  shree RAM ji k aagay kuch nahi tu , jab hajaro log apni jaan gawaa kar us jaga ko bachaa rahay thaa tab tu kaha thaa .  ham ram bhakto ko teri kohi jarurat nahi ir na shatraa par teraa adhikar hai, ham to ram ji ka naam laykar mandir jayaga bhee or waha shastra bhee padhanga tujsay aagiya laynay ko kohi nahi aara to tu bhee apni bakchodi maat kar .",0,@ketanmhatre1712,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Bloody Human god assholes,0,@fojandahl006,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Why this swamy ji is not opposed article 30A brought by congress through which hindus are not allowed to teach hindusism in school and hindus are not allowed to establish hindu schools..,0,@rajkumarsalla5897,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Bilkul sahi bola aap ne 😊 i agree with you guru ji,0,@durgaramraut,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Making temple by demolishing a mosque is really sad,0,@Paradoxx123,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,He  looks like Modi,0,@Paradoxx123,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Shadi may fufa nazar wali syndrome.,0,@somiltiwari8679,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,ज्ञानवापी मंदिर पर कब बोलेंगे शक्राचार्य।  मौलाना सभी मंदिर को मस्जिद बता रहे है।   चारो शक्राचार्य क्या कर रहे  बस जब मंदिर बन जाए तो    जाना वहा बस 👎,0,@thenatureheritage43,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"U r anty Modiji.. u all lost ur respect man.. Modiji is lord Vishnu avatar hai..  Jo Modiji ke khilaf bola sab ne apne respect khoya, desh ho ya videsh..",0,@pawadeshdevarmani8504,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Murkh😂,0,@worldisone1005,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Ram j tent me the  tab  Tum kaha the tumhara niyam kaha tha  sankrachary j ? Kripya jada gyan na de apke gyan ki kisi ko jarurat nhi,0,@riyanshverma5331,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Aap Guarantee lete ki agar by chance congress jeet jati 2024 m to Mandir ka udhghatan hota??😑😑,0,@swagsevines7007,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Guru Brahma Guru Vishnu Guru Maheshwar Guru Sahkasth Para Brahama Namo Namo Namaha.,0,@csmurthy7698,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Dil se Jai Shree Ram , jai Shankaracharya , jai constitution ,jai bharat ❤🔥",0,@assassinerage1909,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Ye banda ab pura palat gya hai 29 Jan 2024. Jab iske khud ke followers isko juta👞 maarne lage toh isko sab sahi lagne lga,0,@King_ofNight,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,These self proclaimed shankaracharyas never took a bullet for sanatan dharma.. They never speak about anti hindu elements.. They never participate in protests ..  But bhandaare me inko pehla number chahiye...  Mc ki gaali kam padti hai inkeliye...,0,@vishalvcchoudhari9149,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Jab Ram ji itne saalo se tent mein thein, tab kaha tha inka gyan...  Jaan gayi 2000 kaar- sevako ki, kya kiya kisi bhi shankracharya ne,  Haan lekin Jab Bhavya tarike se Pran pratishtha ho rahi hai, suddenly they are active and speaking unnecessary...  I have seen many videos of this Shankracharya ji and researched about him. All I can say are that there are all types of people in the dress of a Saint, specifically him.",0,@aditigoel3822,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"दुख है ये शंक्रचार्य काँग्रेसी हुए, काँग्रेस की ही भाषा बोल रहे 👎",0,@rohitthemultitasker2188,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Han mat jao. Zaroorat nhi h tumhari wahan.,0,@robh5812,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,कांग्रेसी चाटुकार शंकराचार्य,0,@shrirajsir4574,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Mera ek sawal tha bhagwan ram ke sath muhurt tha kabhi?    Vivah me bade bade maharshi fir bhi asafal muhurt tha    Rajbhishek ka muhurt bade bade maharshiyo ne nikala fir bhi 1 din pahale vanwas ho gaya,yuddh ke pahale rameshwaram me shivling ki sthapana na muhurt ka kahi jikra hai na mandir aur pran pratishtha ho gaya      Kul milakar Prabhu Ram ke jeevan me muhurt importent nahi tha ye khud muhurt the Sita vivah ho ya vanwas unki ichcha se hi hua           Ab ayodhya bhi unki ichcha se hua isame kintu parantu hona hi nahi chahiye bhagram Ram swayam Narayan hai jagat ke palak ,      Aadarniya shankarachary ji se nivedan hai ki Shriram ke adesh maane       Is desh me 10 lakh aisi jagahe hongi jaha bhinn bhinn Devi devata sthapit hai aadhe me na mandir hai na pran pratishtha ka koi vivran hai pahadi par ped ke neeche rakhe hai Pooja ho Rahi hai      To ye bhi shaastra viruddh hai sab? Agar haa to isako band kaun kareayega",0,@pcm5415,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,मत जाओ आप आप इंसान का वहां जाना नहीं है जो भगवान रामचंद्र का विरोध कर रहे हैं जय श्री राम जय सनातन धर्म और मत जाओ वहां तो क्योंकि सद्बुद्धि तो आपने पानी नहीं है 😂😂😂😂😅😅😅,0,@sagarroy9007,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Shankaracharya ke vesh me shukrachary mil gye 😂😂😂😂😂😂,0,@diksh777,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Tum jaisa log nehi Jana chahiye kyuki tumlog dur hi raho to deska bhala hoga,0,@monadutta6658,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Q- prabhu mudrika mel mukh mahi...  Is chaupai me Hanuman ji Ram ji ki mudrika lekar samudra par kar jate hai.  Mera prashan yh hai, ki Rajshi vastra, sukh sab kuch tyagne k baad mudrika Kaha se aa gayi Ram ji k paas?",0,@babluyadav1879,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"When babar destroyed temple, you should asked him to go by shashtras,  not by weapen,  Because of you we were slaved",0,@scorpiogagan1986,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Ha to jab jihad hota hai  Convert hota hai  Hindu virodhi kayda kanun hote hai tab tu kaha gya tha,0,@priyankpatel7356,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,He is Shankaracharya you shouldn’t say bad to him,0,@saurabhoxford9505,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,आप ठीक नहीं हैं।,0,@BhartiSharma-yw4fm,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Acharya jo bol rahe hai wo correct hai. We should follow the shastra.. Acharya also supporting ram mandir...so hinduo achryaji ko samazo.... They always follow the hindu shastra,0,@MarsLegend,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Janta janardhan hoti h. Sankaracharyo ne jan bhavna ka samman karna chahiye tha. Shree ram ji bhi jan bhavna ka samman karte the. Muje lagta h ki sankaracharya apne ko bhagwan se bhi uper mante h. Bhagwan inka kalyan kare. Jai shree ram,0,@vinodsharma4310,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,E to pakka anti bjp hai  Isane mandir bachao andolanam chalaya tha jisame congress ke karkarta tatha congress ki team media bahar se bulaya tha,0,@PrakashKumar-ou5nw,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"If hospital can be inaugurated before  completion, then why Mandirs can not be?   Peacefuls ko India se bhagane k time aageya hai.",0,@subhomoyhati5937,FALSE,FALSE,FALSE,FALSE,,FALSE,
